A,B,W
APA21120,Palivizumab,0.993655774
QBJ02423,Rifamycin,0.997963247
QBJ02423,Rotavirus vaccine,0.997963247
QBJ02423,Sodium lauryl sulfate,0.997963247
QBJ02423,Rifamycin,0.9970714540000001
QBJ02423,Rotavirus vaccine,0.9970714540000001
QBJ02423,Sodium lauryl sulfate,0.9970714540000001
AZL30983,Palivizumab,0.993655774
AYU88804,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYR17876,Palivizumab,0.993655774
QDK59834,Rifamycin,0.997963247
QDK59834,Rotavirus vaccine,0.997963247
QDK59834,Sodium lauryl sulfate,0.997963247
QDK59834,Rifamycin,0.9970714540000001
QDK59834,Rotavirus vaccine,0.9970714540000001
QDK59834,Sodium lauryl sulfate,0.9970714540000001
AXG23111,Palivizumab,0.993655774
QBM05910,Palivizumab,0.993655774
ANP24224,Rifamycin,0.9970714540000001
ANP24224,Rotavirus vaccine,0.9970714540000001
ANP24224,Sodium lauryl sulfate,0.9970714540000001
BAX35832,Rifamycin,0.997963247
BAX35832,Rotavirus vaccine,0.997963247
BAX35832,Sodium lauryl sulfate,0.997963247
BAX35832,Rifamycin,0.9970714540000001
BAX35832,Rotavirus vaccine,0.9970714540000001
BAX35832,Sodium lauryl sulfate,0.9970714540000001
AYV62397,Rifamycin,0.997963247
AYV62397,Rotavirus vaccine,0.997963247
AYV62397,Sodium lauryl sulfate,0.997963247
AYV62397,Rifamycin,0.9970714540000001
AYV62397,Rotavirus vaccine,0.9970714540000001
AYV62397,Sodium lauryl sulfate,0.9970714540000001
AYV62409,Rifamycin,0.997963247
AYV62409,Rotavirus vaccine,0.997963247
AYV62409,Sodium lauryl sulfate,0.997963247
AYV62409,Rifamycin,0.9970714540000001
AYV62409,Rotavirus vaccine,0.9970714540000001
AYV62409,Sodium lauryl sulfate,0.9970714540000001
QHG61296,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AAM81333,Glecaprevir,0.995548448
AAM81333,Pibrentasvir,0.995548448
AAM81333,Velpatasvir,0.995548448
AAM81333,Asunaprevir,0.995548448
AAM81333,Grazoprevir,0.995548448
AAM81333,Elbasvir,0.995548448
AAM81333,Hepatitis A Vaccine,0.995548448
AAM81333,Dasabuvir,0.995548448
AAM81333,Ledipasvir,0.995548448
AAM81333,Boceprevir,0.995548448
AAM81333,Telaprevir,0.995548448
AAM81333,Buprenorphine,0.995548448
AAM81333,Methadone,0.995548448
AAM81333,Peginterferon alfa-2b,0.995548448
AAM81333,Peginterferon alfa-2a,0.995548448
APB61437,Rifamycin,0.9970714540000001
APB61437,Rotavirus vaccine,0.9970714540000001
APB61437,Sodium lauryl sulfate,0.9970714540000001
AZL31045,Palivizumab,0.993655774
AZL30930,Palivizumab,0.993655774
QBJ02471,Rifamycin,0.997963247
QBJ02471,Rotavirus vaccine,0.997963247
QBJ02471,Sodium lauryl sulfate,0.997963247
QBJ02471,Rifamycin,0.9970714540000001
QBJ02471,Rotavirus vaccine,0.9970714540000001
QBJ02471,Sodium lauryl sulfate,0.9970714540000001
QBB03448,Glecaprevir,0.995548448
QBB03448,Pibrentasvir,0.995548448
QBB03448,Velpatasvir,0.995548448
QBB03448,Asunaprevir,0.995548448
QBB03448,Grazoprevir,0.995548448
QBB03448,Elbasvir,0.995548448
QBB03448,Hepatitis A Vaccine,0.995548448
QBB03448,Dasabuvir,0.995548448
QBB03448,Ledipasvir,0.995548448
QBB03448,Boceprevir,0.995548448
QBB03448,Telaprevir,0.995548448
QBB03448,Buprenorphine,0.995548448
QBB03448,Methadone,0.995548448
QBB03448,Peginterferon alfa-2b,0.995548448
QBB03448,Peginterferon alfa-2a,0.995548448
AXG23111,Palivizumab,0.993655774
AAS45232,Rifamycin,0.997963247
AAS45232,Rotavirus vaccine,0.997963247
AAS45232,Sodium lauryl sulfate,0.997963247
AAS45232,Rifamycin,0.9970714540000001
AAS45232,Rotavirus vaccine,0.9970714540000001
AAS45232,Sodium lauryl sulfate,0.9970714540000001
QEE83502,Palivizumab,0.993655774
QHQ72048,Rifamycin,0.9970714540000001
QHQ72048,Rotavirus vaccine,0.9970714540000001
QHQ72048,Sodium lauryl sulfate,0.9970714540000001
AYO27148,Rifamycin,0.997963247
